Brottstyp;Samtliga;15;16;17;18;19;20;  21-24;  25-29;  30-39;  40-49;  50-59;  60-;  Ålder okänd;Kvinnor;Män; Kön okänt
I skola, bibliotek, fritidshem m.m.;113;23;22;11;9;4;1;5;13;14;6;3;2;- ;14;99;- 
I idrottsanläggning, kyrka, museum m.m.;158;10;13;8;13;2;2;17;21;36;18;13;5;- ;31;127;- 
I hotell, kafé, restaurang, biograf, teater, nöjes-, samlings- och ungdomslokal m.m.;440;15;13;11;11;10;9;53;74;121;69;35;18;1;102;338;- 
I butik, varuhus o.d.;17 437;1 235;994;644;383;377;393;1 560;2 000;3 902;2 659;1 877;1 356;57;6 768;10 668;1
I industri, verkstad, byggplats, lager, hamnområde, kontor m.m.;445;6;14;4;10;7;14;42;65;132;89;41;21;- ;56;388;1
I kontor;129;- ;3;4;1;- ;3;14;21;35;31;15;2;- ;27;102;- 
Övrigt;318;6;11;- ;9;7;11;29;44;98;58;26;19;- ;29;288;1
I bostad m.m.;1 456;17;34;23;29;37;40;161;210;432;272;136;59;6;465;991;- 
I bostad (lägenhet, villa);1 423;17;34;23;28;37;39;160;206;418;263;135;57;6;460;963;- 
Mot äldre/funktionsnedsatt;334;3;3;1;5;7;8;31;38;84;76;57;19;2;154;180;- 
Mot ej äldre/funktionsnedsatt;1 106;14;31;22;23;30;32;133;171;337;192;79;38;4;311;795;- 
I källare och på vind;37;- ;- ;- ;1;- ;1;1;4;18;9;1;2;- ;6;31;- 
Väskryckning (inte rån);89;6;3;4;7;6;6;11;15;13;13;4;1;- ;13;76;- 
Mot äldre/funktionsnedsatt;19;1;1;2;1;- ;2;1;4;3;4;- ;- ;- ;3;16;- 
Mot ej äldre/funktionsnedsatt;70;5;2;2;6;6;4;10;11;10;9;4;1;- ;10;60;- 
Fickstöld;785;48;49;33;39;32;26;102;101;170;108;46;26;5;122;663;- 
Mot äldre/funktionsnedsatt;147;8;4;7;2;4;5;18;21;28;28;12;10;- ;28;119;- 
Mot ej äldre/funktionsnedsatt;667;41;46;28;37;30;24;88;82;148;87;34;17;5;98;569;- 
Övrigt;2 990;88;82;64;60;73;78;279;417;831;534;321;154;9;669;2 318;3
Rån inkl. grovt (5, 6 §);2 960;240;276;239;233;204;185;520;403;397;171;55;16;21;277;2 683;- 
Bankrån;5;- ;- ;- ;- ;- ;- ;2;2;1;- ;- ;- ;- ;- ;5;- 
Med användning av skjutvapen;4;- ;- ;- ;- ;- ;- ;1;2;1;- ;- ;- ;- ;- ;4;- 
Utan användning av skjutvapen;1;- ;- ;- ;- ;- ;- ;1;- ;- ;- ;- ;- ;- ;- ;1;- 
Butiksrån;325;9;14;11;15;22;18;67;65;67;26;8;2;1;35;290;- 
Med användning av skjutvapen;75;- ;5;3;8;7;12;17;12;8;3;- ;- ;- ;6;69;- 
Utan användning av skjutvapen;255;9;9;8;9;15;6;52;53;59;24;8;2;1;29;226;- 
Rån mot värdebefordran;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Med användning av skjutvapen;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Utan användning av skjutvapen;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Rån mot värdetransport;2;- ;- ;- ;- ;- ;- ;- ;- ;- ;2;- ;- ;- ;- ;2;- 
Med användning av skjutvapen;2;- ;- ;- ;- ;- ;- ;- ;- ;- ;2;- ;- ;- ;- ;2;- 
Utan användning av skjutvapen;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Taxirån;16;1;1;1;2;1;1;4;2;2;1;- ;- ;- ;2;14;- 
Med användning av skjutvapen;2;- ;- ;- ;2;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;2;- 
Utan användning av skjutvapen;14;1;1;1;- ;1;1;4;2;2;1;- ;- ;- ;2;12;- 
Rån mot privatperson (äldre/funktionsnedsatt);207;13;18;11;11;16;12;26;35;29;18;8;5;5;32;175;- 
Med användning av skjutvapen;46;2;4;2;5;8;2;4;12;2;1;1;1;2;4;42;- 
Utan användning av skjutvapen;161;11;14;9;6;8;10;22;23;27;17;7;4;3;28;133;- 
Rån mot privatperson (ej äldre/funktionsnedsatt);2 179;203;237;200;189;151;146;377;269;250;106;32;5;14;180;1 999;- 
Rån mot privatperson under 18 år;715;175;173;109;66;46;29;58;20;20;10;3;- ;6;44;671;- 
Utomhus;638;161;158;102;60;45;25;47;11;16;5;3;- ;5;41;597;- 
Med användning av skjutvapen;57;14;9;10;12;4;3;3;1;- ;1;- ;- ;- ;4;53;- 
Utan användning av skjutvapen;599;151;155;93;53;41;22;46;10;16;4;3;- ;5;37;562;- 
Inomhus;87;16;20;8;7;1;4;11;10;4;5;- ;- ;1;3;84;- 
Med användning av skjutvapen;6;2;1;- ;1;- ;1;1;- ;- ;- ;- ;- ;- ;1;5;- 
Utan användning av skjutvapen;81;14;19;8;6;1;3;10;10;4;5;- ;- ;1;2;79;- 
Rån mot privatperson 18 år eller äldre;1 529;32;72;103;131;110;125;335;251;232;96;29;5;8;138;1 391;- 
Utomhus;1 006;29;55;84;101;72;84;236;144;137;42;13;1;8;70;936;- 
Med användning av skjutvapen;140;4;9;14;21;11;10;24;29;15;1;1;- ;1;3;137;- 
Utan användning av skjutvapen;882;26;46;72;82;63;77;216;117;122;41;12;1;7;67;815;- 
Inomhus;572;3;18;21;33;43;47;112;113;106;55;16;4;1;70;502;- 
Med användning av skjutvapen;101;- ;5;6;11;10;15;24;9;15;5;1;- ;- ;5;96;- 
Utan användning av skjutvapen;473;3;13;15;22;33;34;88;104;91;50;15;4;1;65;408;- 
Övriga rån;430;27;26;33;34;34;22;82;58;73;26;9;4;2;37;393;- 
Med användning av skjutvapen;151;7;8;15;16;15;13;27;24;17;5;2;1;1;9;142;- 
Utan användning av skjutvapen;284;20;18;18;18;21;9;57;34;56;22;7;3;1;30;254;- 
Övriga brott mot 8 kap. (8-10 a §);2 593;58;38;39;31;33;49;208;305;689;515;366;254;8;586;2 007;- 
9 kap. Bedrägeri och annan oredlighet;18 731;337;369;391;645;658;675;2 502;3 021;4 919;2 833;1 598;738;45;4 770;13 948;13
Bedrägeri inkl. grovt, grovt fordringsbedrägeri (1-3 a §);12 451;189;237;237;498;465;477;1 715;2 052;3 175;1 819;1 035;528;24;3 798;8 648;5
Bedrägeri genom social manipulation;1 802;11;20;19;91;76;83;277;322;456;232;126;85;4;479;1 322;1
Romansbedrägeri;133;1;3;- ;2;2;3;18;21;45;21;7;7;3;54;79;- 
Mot äldre/funktionsnedsatt;43;- ;- ;- ;- ;- ;1;8;1;16;8;2;6;1;19;24;- 
Ej mot äldre/funktionsnedsatt;92;1;3;- ;2;2;2;10;20;30;14;5;1;2;36;56;- 
Investeringsbedrägeri;82;- ;- ;- ;2;1;- ;7;10;18;18;17;9;- ;17;64;1
Mot äldre/funktionsnedsatt;25;- ;- ;- ;- ;- ;- ;2;4;2;4;8;5;- ;4;20;1
Ej mot äldre/funktionsnedsatt;64;- ;- ;- ;2;1;- ;6;9;16;15;10;5;- ;13;51;- 
Befogenhetsbedrägeri;401;2;3;5;24;21;24;78;73;92;43;19;17;- ;100;301;- 
Mot äldre/funktionsnedsatt;257;1;3;5;21;16;17;58;48;46;21;10;11;- ;65;192;- 
Ej mot äldre/funktionsnedsatt;148;1;- ;- ;3;5;7;23;26;46;22;9;6;- ;35;113;- 
Av annan typ;1 296;9;14;16;65;55;64;201;236;331;159;91;54;1;333;963;- 
Mot äldre/funktionsnedsatt;528;4;7;12;30;24;33;93;90;111;53;47;24;- ;150;378;- 
Ej mot äldre/funktionsnedsatt;814;5;7;5;37;31;37;117;154;230;113;46;31;1;193;621;- 
Identitetsbedrägeri ;925;9;10;10;20;21;37;144;205;269;111;64;25;- ;240;685;- 
Mot äldre/funktionsnedsatt;149;- ;1;1;4;3;5;23;29;46;15;14;8;- ;46;103;- 
Ej mot äldre/funktionsnedsatt;795;9;9;9;17;20;32;124;178;228;99;53;17;- ;200;595;- 
Fakturabedrägeri;247;1;1;2;5;7;9;22;38;68;49;25;19;1;49;198;- 
Mot äldre/funktionsnedsatt;28;- ;- ;- ;1;4;1;3;6;6;6;- ;1;- ;2;26;- 
Ej mot äldre/funktionsnedsatt;227;1;1;2;4;4;8;19;34;65;45;25;18;1;48;179;- 
Kortbedrägeri (bank, betal- och kreditkort);1 276;35;30;41;50;44;53;176;171;308;184;129;51;4;323;953;- 
Med fysiskt kort;1 089;32;26;38;44;36;40;145;132;267;166;116;43;4;268;821;- 
Mot äldre/funktionsnedsatt;319;5;3;9;6;7;10;41;35;76;53;52;21;1;109;210;- 
Ej mot äldre/funktionsnedsatt;809;28;23;30;40;30;33;107;101;201;124;66;23;3;167;642;- 
Utan fysiskt kort;199;3;4;3;7;8;13;32;43;44;19;14;9;- ;57;142;- 
Annonsbedrägeri;5 219;91;116;113;259;237;219;782;925;1 371;657;311;134;4;1 810;3 408;1
Mot äldre/funktionsnedsatt;350;4;1;2;13;11;7;57;65;99;52;24;15;- ;106;244;- 
Ej mot äldre/funktionsnedsatt;5 128;89;115;112;256;234;218;772;909;1 346;642;301;130;4;1 778;3 349;1
Försäkringsbedrägeri;399;- ;- ;- ;2;3;6;42;82;127;66;46;25;- ;119;280;- 
Snyltningsbrott;250;6;6;3;6;9;9;32;34;69;34;28;14;- ;60;190;- 
Grovt fordringsbedrägeri;6;- ;- ;- ;- ;- ;- ;1;3;1;- ;1;- ;- ;- ;6;- 
Övrigt bedrägeri;3 663;47;61;60;97;102;117;504;555;967;623;335;185;10;1 055;2 605;3
Mot äldre/funktionsnedsatt;374;2;2;1;6;11;11;50;55;86;75;38;36;1;119;255;- 
Ej mot äldre/funktionsnedsatt;3 353;45;59;59;92;91;108;465;509;903;562;302;149;9;951;2 399;3
Subventionsmissbruk (3 b §);- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Utpressning (4 §);2 200;82;64;84;88;95;104;379;366;495;240;134;58;11;322;1 876;2
Ocker (5 §);37;- ;- ;1;- ;- ;1;4;- ;7;13;6;5;- ;16;21;- 
Häleri, häleriförseelse (6, 7 §);4 966;71;82;93;96;131;132;547;804;1 533;879;444;145;9;758;4 203;5
Häleri, inkl. grovt (6 §);1 900;6;15;24;28;38;50;202;318;641;359;163;51;5;294;1 604;2
Häleriförseelse (7 §);3 561;66;69;74;74;96;91;387;585;1 074;621;316;104;4;515;3 043;3
Övriga brott mot 9 kap. (3 c, 8-10 §);363;2;- ;1;4;2;15;51;57;114;54;40;22;1;99;263;1
10 kap. Förskingring och annan trolöshet;4 158;64;70;71;79;87;86;363;529;1 052;858;562;332;5;1 090;3 067;1
Förskingring, grov förskingring, undandräkt (1-3 §);427;- ;- ;1;4;7;10;27;44;93;98;72;71;- ;148;279;- 
Olovligt förfogande (4 §);2 190;26;17;22;36;37;39;182;302;589;467;296;175;2;643;1 547;- 
Trolöshet mot huvudman (5 §);427;- ;- ;2;4;6;3;24;28;94;103;105;56;2;141;285;1
Tagande av muta inkl. grov (5 a, 5 c §);77;- ;- ;- ;- ;- ;- ;5;9;22;22;12;6;1;12;64;1
Givande av muta inkl. grov (5 b, 5 c §);74;- ;1;- ;1;1;- ;6;6;25;22;8;4;- ;8;66;- 
Handel med inflytande och/eller vårdslös finansiering av mutbrott (5 d, 5 e §);11;- ;- ;- ;- ;- ;- ;5;2;- ;- ;3;- ;1;1;10;- 
Olovligt brukande (7 §) ;994;37;52;47;31;33;33;114;140;248;151;82;26;- ;150;844;- 
Fyndförseelse (8 §);94;1;- ;- ;3;4;1;7;13;26;24;10;5;- ;18;76;- 
Behörighetsmissbruk (6 §);25;- ;- ;- ;- ;1;3;3;3;4;7;3;1;- ;5;20;- 
11 kap. Brott mot borgenärer m.m.;4 400;- ;1;1;17;18;17;182;405;1 170;1 199;928;460;2;839;3 506;55
Oredlighet mot borgenärer (1, 2 §) ;230;- ;- ;- ;- ;1;- ;12;24;55;56;62;20;- ;50;178;2
Försvårande av konkurs eller exekutiv förrättning (2 §);17;- ;- ;- ;- ;- ;- ;- ;3;3;6;2;3;- ;3;14;- 
Vårdslöshet mot borgenärer (3 §);10;- ;- ;- ;- ;- ;- ;- ;1;1;1;5;2;- ;1;9;- 
Otillbörligt gynnande av borgenär (4 §);37;- ;- ;- ;- ;1;- ;- ;1;6;14;11;4;- ;5;32;- 
Bokföringsbrott (5 §);4 313;- ;1;1;17;18;18;179;393;1 152;1 176;906;450;2;819;3 439;55
12 kap. Skadegörelsebrott;10 002;556;423;364;361;305;311;1 153;1 447;2 380;1 402;828;460;12;1 671;8 329;2
Skadegörelse, grov skadegörelse, åverkan (1-3 §);9 988;556;423;364;361;305;311;1 152;1 447;2 380;1 397;824;456;12;1 667;8 319;2
Genom brand;361;77;35;32;9;9;17;25;37;52;40;13;14;1;60;301;- 
Bilbrand eller brand på andra motorfordon;82;2;2;4;1;3;10;11;18;14;10;5;2;- ;10;72;- 
Brand på annat än motorfordon;283;76;33;28;8;6;7;16;19;38;31;8;12;1;50;233;- 
På motorfordon (ej genom brand);1 962;100;77;78;83;79;72;218;292;447;272;153;90;1;255;1 707;- 
Klotter mot kollektivtrafik;167;9;7;7;1;6;7;31;41;40;15;1;1;1;15;152;- 
Övrigt klotter;735;42;45;42;42;20;21;101;137;178;59;31;17;- ;98;637;- 
Mot stat, kommun, landsting (ej klotter);973;154;66;48;42;32;36;107;124;188;84;64;27;1;107;866;- 
Annan skadegörelse (ej klotter);6 655;212;222;188;202;190;188;782;976;1 703;1 044;613;327;8;1 217;5 436;2
Tagande av olovlig väg (4 §);21;- ;- ;1;1;- ;- ;2;3;- ;6;4;4;- ;5;16;- 
13-15 kap. Brott mot allmänheten;7 800;91;145;203;180;180;239;876;1 163;2 018;1 261;778;573;93;2 195;5 588;17
13 kap. Allmänfarliga brott;1 972;49;67;58;59;42;60;198;248;367;249;235;337;3;540;1 432;- 
Mordbrand, grov mordbrand (1, 2 §);355;21;17;22;10;7;14;35;40;83;46;39;20;1;70;285;- 
Allmänfarlig ödeläggelse (3 §);150;1;4;8;4;5;9;28;30;34;19;6;2;- ;16;134;- 
Genom sprängning;138;1;4;8;4;4;8;25;26;32;18;6;2;- ;15;123;- 
Fullbordat brott;30;1;2;2;2;- ;1;7;6;5;3;1;- ;- ;4;26;- 
Försök m.m. till brott;44;- ;1;1;1;3;- ;7;8;13;6;3;1;- ;4;40;- 
Ej genom sprängning;15;- ;- ;- ;- ;1;1;4;5;3;1;- ;- ;- ;1;14;- 
Sabotage mot blåljusverksamhet inkl. grovt (5 c §);390;16;28;27;34;18;24;58;75;60;27;14;8;1;43;347;- 
Allmänfarlig vårdslöshet (6 §);1 064;11;14;3;12;12;14;75;100;186;156;174;306;1;405;659;- 
Vållande av brand;931;8;8;2;10;8;14;65;87;170;132;153;273;1;366;565;- 
Annan allmänfarlig vårdslöshet;136;3;6;1;3;4;- ;10;13;16;24;21;35;- ;40;96;- 
Spridande av gift eller smitta, förgöring, vårdslöshet med gift eller smittämne (7-9 §);12;- ;- ;- ;- ;- ;- ;1;1;5;1;3;1;- ;6;6;- 
Övriga brott mot 13 kap. (4-5 b, 10 §);15;- ;4;- ;- ;- ;- ;1;4;2;2;2;- ;- ;1;14;- 
14 kap. Förfalskningsbrott;3 886;23;32;50;56;71;104;460;636;1 161;720;357;154;62;811;3 064;11
Urkundsförfalskning m.m. (1-4, 10 §);2 930;3;17;30;27;43;69;334;502;897;569;279;112;48;659;2 267;4
Check;6;- ;- ;- ;- ;1;- ;1;- ;2;- ;2;- ;- ;1;5;- 
Legitimationshandling;1 078;2;5;21;14;25;33;139;178;341;188;73;25;34;182;894;2
Handling som  använts för illegal invandring (pass, resedokument, uppehållstillstånd m.m.);335;2;2;3;6;11;11;52;59;92;56;16;10;15;92;242;1
Övrig legitimationshandling;749;- ;3;18;8;14;22;87;119;253;133;57;16;19;90;658;1
Övrig urkundsförfalskning;1 897;1;12;9;13;18;37;199;335;573;391;208;87;14;484;1 411;2
Signaturförfalskning (5, 10 §);3;- ;- ;- ;- ;- ;- ;- ;- ;- ;1;1;1;- ;- ;3;- 
Penningförfalskning m.m. (6, 7, 10, 11 §);399;13;10;15;21;14;18;80;61;77;34;23;24;9;74;319;6
Övriga brott mot 14 kap. (8-11 §) ;586;7;5;5;10;14;18;52;83;195;120;55;17;5;79;506;1
15 kap. Mened, falskt åtal m.m.;2 106;20;49;100;68;70;80;236;305;544;316;199;89;30;882;1 218;6
Mened, osann partsutsaga m.m. (1-3 §);174;4;2;4;8;12;9;25;30;29;20;17;12;2;51;121;2
Falsk tillvitelse, vårdslös tillvitelse (7 §);787;10;17;18;18;21;26;83;116;236;114;88;39;1;445;341;1
Missbruk av urkund avs. pass och övr. resedokument samt utfärdat pass på falska grunder (11, 12 §);603;3;19;58;28;25;31;81;91;145;61;27;8;26;176;426;1
Övriga brott mot 15 kap. (4 a, 4 b, 5, 6, 8-13 §);594;3;11;23;14;16;15;54;74;152;127;71;33;1;227;365;2
16-20 kap. Brott mot staten;13 520;455;432;440;489;462;480;1 713;1 957;2 988;1 898;1 314;843;49;2 168;11 349;3
16 kap. Brott mot allmän ordning;2 674;156;99;84;59;57;69;247;287;478;395;359;380;4;551;2 122;1
Falskt larm (15 § 1, 2 st.);376;15;9;10;11;9;9;46;46;77;72;39;33;- ;118;258;- 
Missbruk av larmanordning (15 § 3 st.);45;9;5;1;3;- ;1;4;4;5;8;2;3;- ;11;34;- 
Hets mot folkgrupp (8 §);252;50;16;12;3;7;5;9;14;36;26;36;38;- ;29;223;- 
Olaga diskriminering (9 §);3;- ;- ;- ;- ;- ;- ;2;- ;- ;- ;- ;1;- ;- ;3;- 
Barnpornografibrott (10 a §);970;73;56;47;28;26;30;87;95;185;148;111;82;2;66;904;- 
Internetrelaterat barnpornografibrott;682;51;39;35;19;14;20;65;69;136;108;79;45;2;47;635;- 
Övriga barnpornografibrott;341;27;18;17;10;12;11;26;32;63;49;35;41;- ;19;322;- 
Djurplågeri (13 §);694;2;2;3;- ;3;9;38;60;117;117;137;205;1;243;450;1
Övriga brott mot 16 kap. (1-6, 10-12, 14 §);351;9;11;12;14;12;15;62;72;62;28;35;18;1;86;265;- 
17 kap. Brott mot allmän verksamhet;10 737;315;342;361;437;410;420;1 471;1 654;2 474;1 460;908;443;42;1 527;9 209;1
Våld mot tjänsteman (1, 5 §);2 285;39;51;79;90;90;101;349;399;511;289;191;90;6;489;1 796;- 
Mot polis (1 §);813;23;18;33;33;33;36;96;138;191;104;80;26;2;194;619;- 
Mot ordningsvakt (1 §);707;- ;9;16;29;24;41;122;143;158;97;51;15;2;128;579;- 
Mot annan person (1, 5 §) ;847;17;25;33;32;35;30;140;140;180;99;64;50;2;195;652;- 
Hot m.m. mot tjänsteman (1, 2, 5 §);3 340;70;76;88;116;113;132;455;533;780;485;320;164;8;432;2 907;1
Våldsamt motstånd (4, 5 §);3 893;71;100;119;154;150;152;608;703;928;498;289;112;9;509;3 384;- 
Övergrepp i rättssak (10 §);3 458;175;166;140;155;150;127;413;460;805;473;247;127;20;408;3 050;- 
Övriga brott mot 17 kap. (8, 9, 11-13, 15 §);454;9;21;29;28;13;22;57;67;87;52;50;16;3;96;358;- 
18 kap. Högmålsbrott;2;- ;- ;- ;1;- ;- ;- ;- ;1;- ;- ;- ;- ;1;1;- 
19 kap. Brott mot rikets säkerhet;9;- ;- ;- ;- ;- ;- ;- ;1;5;3;- ;- ;- ;1;8;- 
20 kap. Tjänstefel m.m.;312;- ;- ;- ;- ;- ;1;21;51;74;70;64;28;3;113;198;1
Tjänstefel inkl.grovt (1 §);236;- ;- ;- ;- ;- ;1;16;38;62;51;49;17;2;72;164;- 
Brott mot tystnadsplikt (3 §);77;- ;- ;- ;- ;- ;- ;5;13;13;19;15;11;1;42;34;1
22 kap. Om landsförräderi m.m.;5;- ;- ;- ;- ;- ;- ;1;2;2;- ;- ;- ;- ;1;4;- 
Brott mot specialstraffrättsliga författningar;102 946;2 292;2 819;2 948;3 818;4 064;4 144;15 068;15 260;23 079;13 874;8 876;6 144;560;18 915;83 654;377
Brott mot trafikbrottslagen;35 063;931;1 083;793;903;1 086;1 130;4 492;4 793;7 761;5 187;3 774;3 080;50;4 676;30 381;6
Grov vårdslöshet i trafik (1 § 2 st.);869;23;15;23;50;38;33;147;139;195;106;54;42;4;68;800;1
Olovlig  körning, grov olovlig körning (3 § 1 st.);18 591;816;931;699;431;451;524;2 123;2 417;4 373;2 723;1 803;1 280;20;2 064;16 527;- 
Rattfylleri, grovt rattfylleri (4, 4 a §);7 531;52;82;61;89;126;137;442;654;1 513;1 554;1 510;1 295;16;1 002;6 527;2
Rattfylleri under påverkan av narkotika (4 § 2 st.);12 651;32;74;86;477;629;648;2 591;2 504;3 162;1 417;732;293;6;1 470;11 179;2
Smitning, trafikolycka (5 §);2 024;34;26;40;77;48;44;166;179;352;307;259;483;9;392;1 631;1
Med betydande materialskador, personskador eller dödligt utfall;364;7;9;17;24;12;9;37;39;77;57;40;34;2;42;322;- 
Med inga eller lindriga material- och personskador;1 672;27;17;23;53;38;36;130;142;278;251;219;451;7;350;1 321;1
Övriga brott (3 § 2 och 3 st.);1 317;48;53;28;31;24;28;110;110;241;318;215;109;2;443;874;- 
Brott mot narkotikastrafflagen;56 047;1 139;1 562;2 010;2 899;3 075;3 174;11 059;9 962;12 014;5 406;2 539;987;221;8 598;47 347;102
Överlåtelse m.m. (1-3 a §);5 415;90;116;206;267;292;317;1 137;1 006;1 113;468;230;111;62;734;4 636;45
Innehav (1-3 §);34 043;541;811;1 110;1 622;1 839;1 879;6 734;6 251;7 430;3 397;1 661;654;114;4 931;29 053;59
Eget bruk (1-3 §);40 857;901;1 261;1 599;2 333;2 402;2 444;8 353;7 419;8 527;3 579;1 500;492;47;6 204;34 653;- 
Framställning (1-3 §);763;1;1;3;9;12;15;90;147;240;136;70;39;- ;149;614;- 
Brott mot miljöbalken (29 kap.);964;2;1;7;8;9;5;26;61;142;185;185;157;176;133;664;167
Miljöbrott inkl. grovt miljöbrott (1 §);234;- ;- ;1;1;2;- ;5;12;34;46;63;37;33;31;171;32
Brott eller förseelse mot områdesskydd (2, 2 a §);273;- ;- ;- ;3;- ;- ;4;13;38;59;71;54;31;64;180;29
Artskydd inkl grovt (2 b §);69;- ;- ;1;- ;- ;- ;4;5;11;15;8;11;14;15;42;12
Otillåten hantering av invasiv främmande art (2 c §);4;- ;- ;- ;- ;- ;- ;- ;1;- ;2;1;- ;- ;1;3;- 
Miljöfarlig eller olovlig kemikaliehantering (3, 3 a §);39;- ;- ;- ;- ;- ;- ;1;2;1;3;5;6;21;- ;18;21
Otillåten miljöverksamhet (4 § 1 st. 1-2 p.);164;- ;- ;- ;- ;- ;- ;1;6;14;23;28;32;60;6;101;57
Otillåten avfallstransport (4 a § 1-15 p.);68;1;- ;- ;- ;2;1;4;7;28;22;1;1;1;2;65;1
Försvårande av miljökontroll (5 §);18;- ;- ;- ;- ;- ;- ;- ;- ;1;5;4;3;5;2;12;4
Bristfällig miljöinformation (6 §);22;- ;- ;- ;- ;- ;- ;- ;- ;- ;1;- ;1;20;- ;2;20
Nedskräpning (7 §);151;1;1;5;4;5;4;7;24;21;21;25;30;3;21;127;3
Övriga brott mot miljöbalken (8 §);11;- ;- ;- ;- ;- ;- ;- ;- ;4;1;2;2;2;2;7;2
Brott mot skattebrottslagen (2-10 §);1 669;- ;1;1;2;8;20;78;170;451;460;315;159;4;346;1 318;5
Grovt skattebrott;453;- ;- ;- ;1;1;2;20;52;103;127;93;52;2;77;376;- 
Skattebrott (2 §), skatteförseelse (3 §), grovt skattebrott avseende mervärdesskattelagen (4 §);257;- ;- ;- ;- ;- ;3;7;29;76;71;45;26;- ;55;202;- 
Skattebrott (2 §), skatteförseelse (3 §), grovt skattebrott avseende övrig skattelagstiftninig (4 §);646;- ;- ;- ;1;2;13;33;68;169;185;115;60;- ;145;501;- 
Vårdslös skatteuppgift (5 §);3;- ;- ;- ;- ;- ;- ;1;- ;1;1;- ;- ;- ;- ;3;- 
Skatteavdragsbrott (6 §);6;- ;- ;- ;- ;- ;- ;- ;- ;4;- ;2;- ;- ;1;5;- 
Skatteredovisningsbrott (7 §), vårdslös skatteredovisning (8 §);14;- ;- ;- ;- ;- ;- ;1;- ;4;5;2;2;- ;1;13;- 
Försvårande av skattekontroll (10 §);735;- ;1;1;- ;6;5;29;64;215;207;144;61;2;147;583;5
Lagen om näringsförbud, överträdelse;51;- ;- ;- ;- ;- ;- ;- ;2;10;11;20;8;- ;6;45;- 
Aktiebolagslagen (30 kap.);266;- ;- ;- ;2;1;- ;12;31;81;61;55;23;- ;45;219;2
Underlåtenhet att föra/hålla aktiebok tillgänglig (1 § 1 st. 2 p.);3;- ;- ;- ;- ;- ;- ;- ;1;2;- ;- ;- ;- ;- ;3;- 
Brott mot låneförbud m.m. (1 § 1 st. 4 p.);75;- ;- ;- ;- ;- ;- ;2;8;21;21;17;6;- ;17;58;- 
Brott mot bulvan/målvaktsbestämmelser (1 § 3 st.);180;- ;- ;- ;2;1;- ;10;22;56;39;35;15;- ;26;153;1
Övriga brott mot aktiebolagslagen (1 § 1 st. 1 p., 3 p.);9;- ;- ;- ;- ;- ;- ;- ;- ;2;1;3;3;- ;2;6;1
Lag om straff för marknadsmissbruk på värdepappersmarknaden;127;- ;- ;- ;- ;1;- ;2;4;18;43;29;30;- ;12;113;2
Insiderbrott, inkl. grovt (1, 7 §);92;- ;- ;- ;- ;- ;- ;1;3;9;31;25;23;- ;10;80;2
Obehörigt röjande av insiderinformation (3 §);5;- ;- ;- ;- ;- ;- ;- ;- ;- ;3;2;- ;- ;- ;5;- 
Marknadsmanipulation, inkl. grov (4, 7 §);34;- ;- ;- ;- ;1;- ;1;1;9;11;4;7;- ;2;32;- 
Lag om straff för finansiering av särskilt allvarlig brottslighet i vissa fall m.m. (3-4 §);- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Lag om straff för penningtvättsbrott;7 368;53;116;180;473;478;448;1 436;1 220;1 533;750;414;258;9;1 911;5 453;4
Penningtvättsbrott (3-4 §);6 050;42;96;159;434;415;395;1 243;1 007;1 200;567;288;201;3;1 614;4 436;- 
Penningtvättsbrott, grovt brott (5 §);822;1;1;3;12;21;27;98;137;240;140;90;49;3;187;634;1
Penningtvättsförseelse (6 §);321;11;21;16;28;33;18;66;46;50;13;13;6;- ;97;224;- 
Näringspenningtvätt (7 § 1-3 st);584;- ;2;5;8;25;24;87;126;138;89;55;22;3;94;487;3
Brott mot bidragsbrottslagen;7 523;1;2;3;18;42;72;515;1 202;2 876;1 706;823;262;1;3 406;4 116;1
Mot Försäkringskassan;4 819;- ;1;1;6;8;20;264;727;2 013;1 145;524;110;- ;2 288;2 531;- 
Mot kommunerna;958;1;1;2;11;16;21;78;123;290;237;141;37;- ;455;503;- 
Mot a-kassorna och Arbetsförmedlingen;1 178;- ;- ;- ;- ;2;2;39;188;464;299;149;35;- ;453;725;- 
Mot PPM, CSN och Migrationsverket;667;- ;- ;- ;1;17;30;138;173;154;50;18;85;1;256;410;1
Lag om straff för smuggling (3-14 §);2 094;22;19;37;33;51;52;239;304;609;385;231;109;3;272;1 797;25
Smugglingsbrott, olovlig in- och utförsel (3-5, 7, 14 §);680;9;11;16;5;13;12;44;67;182;160;103;57;1;92;577;11
Narkotikasmuggling, olovlig in- och utförsel (6, 7 §);1 165;7;6;20;23;34;36;181;217;372;156;78;33;2;152;1 002;11
