Brottstyp;Samtliga;15;16;17;18;19;20;  21-24;  25-29;  30-39;  40-49;  50-59;  60-;  Ålder okänd;Kvinnor;Män; Kön okänt
Mot man 18 år eller äldre;266;- ;3;14;14;17;16;42;45;62;31;11;10;1;47;219;- 
Närstående genom parrelation;12;- ;- ;- ;- ;- ;1;- ;1;4;3;1;2;- ;11;1;- 
Närstående genom släktskap/familj;20;- ;- ;1;- ;- ;1;1;5;4;3;4;1;- ;2;18;- 
Annan sorts relation eller bekantskap;103;- ;- ;3;6;8;4;18;17;25;13;4;5;- ;17;86;- 
Obekanta;131;- ;3;10;8;9;10;23;22;29;12;2;2;1;17;114;- 
Olaga tvång (4 §);668;52;52;36;35;18;29;98;85;138;79;36;8;2;85;583;- 
Mot barn under 18 år;217;47;42;18;18;6;8;15;9;26;20;7;1;- ;41;176;- 
Mot flicka under 18 år;99;17;16;7;8;1;7;7;4;15;12;5;- ;- ;30;69;- 
Mot pojke under 18 år;133;30;29;16;10;5;1;8;5;14;10;4;1;- ;16;117;- 
Mot kvinna 18 år eller äldre;243;3;- ;6;6;7;11;36;46;66;38;18;5;1;18;225;- 
Närstående genom parrelation;130;- ;- ;- ;3;2;6;17;28;42;21;9;2;- ;1;129;- 
Närstående genom släktskap/familj;26;1;- ;1;1;- ;1;3;3;7;4;2;3;- ;3;23;- 
Annan sorts relation eller bekantskap;56;- ;- ;3;1;4;- ;10;11;12;10;3;1;1;10;46;- 
Obekanta;29;2;- ;2;- ;1;3;6;6;3;3;3;- ;- ;1;28;- 
Mot man 18 år eller äldre;217;2;10;14;11;5;11;48;32;47;23;11;2;1;26;191;- 
Närstående genom parrelation;12;- ;- ;- ;- ;- ;- ;- ;4;4;3;1;- ;- ;10;2;- 
Närstående genom släktskap/familj;6;- ;- ;- ;- ;1;- ;2;- ;2;1;- ;- ;- ;2;4;- 
Annan sorts relation eller bekantskap;116;2;6;5;4;2;7;25;16;28;13;5;2;1;10;106;- 
Obekanta;87;- ;4;9;7;2;4;21;14;14;7;5;- ;- ;6;81;- 
Grov fridskränkning (4 a §);811;11;4;9;12;17;13;48;89;273;222;94;16;3;326;485;- 
Mot barn under 18 år;585;10;3;5;8;6;6;21;57;212;183;61;10;3;234;351;- 
Mot flicka under 18 år;374;7;3;5;7;4;6;11;35;136;111;41;5;3;157;217;- 
Mot pojke under 18 år;290;3;- ;- ;1;2;1;10;29;113;100;25;6;- ;105;185;- 
Mot kvinna 18 år eller äldre;147;1;1;4;4;10;5;19;23;28;23;23;6;- ;16;131;- 
Närstående genom parrelation;97;- ;1;2;3;8;5;14;17;21;9;16;1;- ;6;91;- 
Närstående genom släktskap/familj;50;1;- ;2;1;2;- ;5;6;7;14;7;5;- ;10;40;- 
Mot man 18 år eller äldre;97;- ;- ;1;1;2;2;9;11;34;24;12;1;- ;83;14;- 
Närstående genom parrelation;82;- ;- ;- ;- ;1;- ;9;10;32;20;9;1;- ;75;7;- 
Närstående genom släktskap/familj;14;- ;- ;1;1;1;1;- ;1;2;4;3;- ;- ;7;7;- 
Grov kvinnofridskränkning (4 a §);1 295;- ;6;2;6;17;27;130;248;445;272;113;28;1;4;1 291;- 
Olaga förföljelse (4 b §);361;5;- ;2;6;6;9;27;48;100;75;48;34;1;76;285;- 
Mot barn under 18 år;33;4;- ;2;- ;4;2;4;2;5;2;6;2;- ;3;30;- 
Mot flicka under 18 år;28;3;- ;2;- ;4;2;4;1;5;1;5;1;- ;2;26;- 
Mot pojke under 18 år;7;1;- ;- ;- ;- ;- ;- ;1;- ;2;2;1;- ;2;5;- 
Mot kvinna 18 år eller äldre;276;2;- ;- ;5;2;7;21;35;79;58;38;28;1;32;244;- 
Närstående genom parrelation;143;- ;- ;- ;- ;1;3;13;15;45;36;20;9;1;4;139;- 
Närstående genom släktskap/familj;18;- ;- ;- ;- ;- ;- ;- ;2;3;6;3;4;- ;3;15;- 
Annan sorts relation eller bekantskap;84;1;- ;- ;2;- ;4;7;15;27;10;11;7;- ;17;67;- 
Obekanta;33;- ;- ;- ;2;- ;- ;2;3;5;7;5;9;- ;9;24;- 
Mot man 18 år eller äldre;81;1;- ;- ;3;1;1;5;13;20;17;12;8;- ;48;33;- 
Närstående genom parrelation;22;- ;- ;- ;2;- ;- ;- ;3;5;9;2;1;- ;21;1;- 
Närstående genom släktskap/familj;8;- ;- ;- ;- ;- ;- ;- ;- ;2;3;2;1;- ;5;3;- 
Annan sorts relation eller bekantskap;26;- ;- ;- ;- ;- ;1;1;7;7;3;5;2;- ;17;9;- 
Obekanta;22;- ;- ;- ;- ;- ;- ;2;3;7;2;3;5;- ;7;15;- 
Äktenskapstvång (4 c § 1-2 st.);42;- ;- ;1;- ;- ;- ;3;2;13;14;4;4;1;15;27;- 
Barnäktenskapsbrott (4 c § 3 st.);41;1;- ;- ;- ;- ;1;2;3;13;14;4;2;1;15;25;1
Vilseledande till äktenskapsresa (4 d §);6;- ;- ;- ;- ;- ;- ;- ;- ;- ;5;1;- ;- ;3;3;- 
